0.1267	0.8273	0.0918	0.6834	0.6035	0.5132	0.4851	0.7652	0.9713	0.9198
0.7231	0.1904	0.6615	0.3750	0.3082	0.4923	0.4201	0.2160	0.4183	0.4289
1.0000	0.5478	0.5380	0.4895	0.1814	0.4366	1.0000	0.4074	0.4804	0.0000
0.4495	1.0000	0.5136	0.1215	0.3325	0.4522	0.0000	0.0341	0.5717	0.3685
0.5072	0.5526	0.5848	0.9656	0.7803	0.0000	0.3910	0.5256	0.6872	0.5193
0.9706	0.8776	0.4398	0.8394	0.2372	0.6697	1.0000	0.5545	0.0000	0.5890
0.0985	0.3351	1.0000	0.3402	1.0000	0.5570	0.5142	0.3769	0.4646	0.5890
1.0000	0.0328	0.2240	0.4648	0.5156	0.4012	0.5352	0.3221	0.5344	0.4136
0.0473	0.6120	0.2107	0.0000	0.8702	0.4204	0.5352	0.6002	0.6903	0.9854
1.0000	0.0322	0.0443	0.3469	0.3224	0.4029	0.7825	0.6761	0.4685	0.3996
0.0790	1.0000	0.4967	0.6614	0.7822	0.6650	0.5392	0.6573	0.3564	0.3287
0.5948	0.0887	0.3238	0.2700	0.4580	0.5700	1.0000	0.5383	0.1561	0.5536
0.5350	0.4530	0.6729	0.5767	1.0000	0.4096	0.7341	0.3513	1.0000	1.0000
0.0353	1.0000	0.4724	0.0000	0.4662	0.3910	0.3857	0.0437	0.7195	0.1743
0.5102	0.1587	0.3242	0.5227	0.5785	0.4532	0.5441	0.7319	0.6981	0.7073
0.5337	0.0000	0.7083	0.5674	0.2033	0.4532	0.5333	0.3327	0.4062	1.0000
0.5502	0.4720	1.0000	0.0230	0.5636	0.5185	0.4827	0.4379	0.0270	0.4685
0.6663	0.5099	0.4843	0.0000	0.5253	0.3177	0.4827	0.0983	0.5468	0.3834
0.7767	0.5099	0.0000	0.0000	0.7173	0.4332	0.4827	0.4385	0.6129	0.4826
0.3638	0.5979	0.5250	0.4174	0.2486	0.5353	0.5472	0.5466	0.4459	0.4720
0.3448	0.5184	0.5250	0.4114	0.9208	0.4966	0.6710	0.2996	0.5597	0.9132
0.5622	0.5347	0.5250	0.5643	0.3977	0.4616	0.1651	0.4446	0.2997	0.1750
0.4213	0.5984	0.5250	0.6987	0.3851	0.5180	0.5830	0.9559	0.6832	0.0000
0.8628	0.4359	0.5250	0.0029	1.0000	0.4117	0.5993	0.7017	0.3705	0.4729
0.4119	0.5743	0.4534	0.4227	0.5287	0.1476	1.0000	0.7405	0.5024	0.5184
0.0000	0.5275	0.4534	0.4146	0.3390	0.4534	1.0000	0.5734	0.5615	0.3954
0.9741	0.5003	0.4534	0.5800	0.3833	0.4907	0.0000	0.5262	0.5615	0.4337
0.4866	0.4562	0.4534	0.5800	0.5994	0.4907	0.5014	0.5503	0.4641	0.4397
0.4467	0.4562	0.4060	0.5800	0.4419	0.5265	0.5014	0.6587	0.6356	1.0000
0.5243	0.4562	0.4725	0.3838	0.4419	0.4993	0.5083	0.4777	0.5651	0.5971
0.5243	0.4562	0.4331	0.3849	0.4419	0.3466	0.6693	0.6288	0.3727	0.3512
0.3812	0.4562	0.5872	0.0000	0.6151	0.3984	0.8580	0.5624	0.9247	0.5206
0.8361	0.4562	0.3932	0.5034	0.4226	0.3984	0.3888	0.5624	0.6870	0.4075
0.3896	0.4562	0.3609	0.5657	0.5281	0.6242	0.3530	0.5624	0.0000	0.6275
0.5172	0.4212	0.6923	0.4572	0.3824	0.6508	0.4896	0.4673	0.4151	0.6275
0.4870	0.6443	0.5327	0.5271	0.3930	0.3757	0.4772	0.4673	0.4151	0.4275
0.5899	0.6444	0.5869	0.6238	0.4876	0.6166	0.4508	0.4673	0.4428	0.4425
0.4346	0.6290	0.5869	0.5611	0.4847	0.6166	0.4495	0.5036	0.5372	0.5519
0.6111	0.5840	0.4469	0.5611	0.4847	0.5277	0.5713	0.6222	0.5372	0.6148
0.4462	0.4863	0.4100	0.6162	0.4847	0.5277	0.5713	1.0000	0.5554	0.3829
0.6474	0.4669	0.3766	0.6162	0.4847	0.5277	0.4396	0.4524	0.5914	0.5440
0.4970	0.4196	0.4126	0.3861	0.5594	0.5277	0.4396	0.4525	0.4850	0.5440
0.4970	0.5691	0.5027	0.4338	0.5594	0.5215	0.4396	0.4207	0.4850	0.5440
0.4970	0.5691	0.5027	0.4338	0.5031	0.6420	0.4396	0.4488	0.4850	0.5158
0.4970	0.5842	0.5027	0.5211	0.4711	0.4066	0.4396	0.5602	0.4850	0.5908
0.4970	0.5760	0.4691	0.4451	0.4502	0.5239	0.4657	0.4039	0.5370	0.6224
0.4734	0.5444	0.4774	0.4451	0.4502	0.5239	0.4657	0.4039	0.5370	0.4084
0.5469	0.4907	0.4335	0.4687	0.4502	0.5231	0.4939	0.4566	0.4955	0.4084
0.4322	0.4907	0.4939	0.4878	0.4378	0.5171	0.4939	0.6687	0.4955	0.4084
0.4322	0.6084	0.4939	0.4426	0.4367	0.5288	0.4939	0.5490	0.4955	0.4084
0.5936	0.5339	0.5518	0.4426	0.3884	0.5357	0.4939	0.4483	0.4955	0.4084
0.5526	0.5339	0.4371	0.5623	0.4965	0.5357	0.4483	0.3737	0.4955	0.4604
0.5553	0.5339	0.5932	0.4539	0.5985	0.5063	0.4483	0.3737	0.4955	0.4604
0.5553	0.5339	0.4112	0.4539	0.5985	0.5063	0.4483	0.4755	0.4955	0.4973
