0.1394	0.1047	0.0891	0.0841	0.9845	0.2377	0.7810	0.3250	0.5727	0.1930	0.4966	0.6874	0.2227	0.9205	0.4490	0.7651	0.0029	0.8811	0.2783	0.3452
0.1087	0.5963	0.6078	0.5807	0.0000	0.3721	0.0000	0.3146	0.2014	0.0697	0.4972	0.3246	0.5766	1.0000	0.6625	0.3960	0.5640	0.8228	0.1374	0.3094
0.4272	0.7406	0.3883	0.6327	0.5973	0.2268	0.5574	0.1469	0.4576	0.6977	0.4972	0.5981	0.5766	0.5690	0.5014	0.4911	1.0000	0.0000	1.0000	0.8192
0.4272	0.5181	0.2087	0.0622	0.6844	0.6693	1.0000	0.6698	0.6585	1.0000	0.4841	0.5835	0.1775	1.0000	0.5014	0.5908	0.7894	1.0000	1.0000	0.5904
0.7511	0.5922	0.7093	0.3422	0.9291	0.1894	0.7172	0.6517	0.6816	0.7313	0.5141	0.7790	0.6125	0.2558	0.5014	0.4921	0.5788	0.6950	0.3967	0.5904
0.6765	0.6195	0.6416	0.3063	0.0000	1.0000	0.4291	0.4795	0.9121	0.4241	1.0000	0.3830	0.0000	0.3232	0.5014	1.0000	0.6676	0.4002	0.7363	0.5904
0.6765	1.0000	0.5080	0.3109	0.5864	0.1266	0.6518	0.4175	0.2391	0.7307	1.0000	1.0000	0.3455	0.3996	0.3367	0.5969	0.8716	0.4076	0.4251	0.5904
0.6765	0.4913	1.0000	0.3109	0.2831	0.2064	0.4211	0.3167	0.5674	0.7501	0.3818	0.4764	0.4874	0.3996	1.0000	0.7746	0.0586	0.4247	0.4251	0.5904
0.2891	0.4913	0.3997	0.8741	0.4579	0.4053	0.9562	0.5440	0.6066	0.6534	0.8914	0.5902	0.4874	0.7696	0.4373	0.6911	0.0000	0.5058	0.4251	0.5904
0.9264	0.4913	0.3997	0.4908	0.5929	0.4053	1.0000	0.4209	1.0000	0.1059	0.3042	0.4764	0.2235	0.2263	0.9735	0.4297	0.7888	0.7732	0.5154	0.5904
0.5079	0.4927	0.3997	0.7260	0.5929	0.4053	0.8799	0.3090	0.5978	0.3998	0.1491	0.6839	0.4219	0.5841	0.7692	0.4156	0.4863	0.6997	0.4181	0.5904
0.5718	0.4927	0.3997	0.6797	0.4056	0.5890	0.5108	0.3090	0.5978	0.5986	0.5876	0.6719	0.4137	0.3015	0.3544	0.5483	0.5860	0.4138	0.4181	0.5904
0.3927	0.4998	0.4650	0.6659	0.8964	0.4973	0.5108	0.3996	0.5978	0.0603	0.0000	0.4909	0.4137	0.0000	0.3294	0.0950	0.5860	0.4138	0.7518	0.5904
1.0000	0.4998	0.9053	0.5764	0.0000	0.6771	0.5987	0.6846	0.5978	0.2905	0.0000	0.4909	0.4137	0.3083	0.3294	0.5773	0.5860	0.5152	0.0751	0.5904
1.0000	0.4998	0.4567	0.3835	0.7513	1.0000	0.6038	0.6846	0.4867	0.5043	0.0000	0.4909	0.4137	0.3083	1.0000	0.5773	0.5860	0.5078	0.0000	0.5904
0.4982	0.4998	0.5814	0.4077	0.9981	0.5011	0.6879	0.6846	0.4207	0.5920	0.0000	0.6082	0.4137	0.3083	0.5190	0.6694	0.5860	0.6614	0.5917	0.9154
0.5924	0.4998	0.4988	0.4077	0.0000	0.5011	0.6895	0.4010	0.3323	0.5920	0.6745	0.6082	0.4137	0.5930	0.3015	0.6898	0.7065	0.0000	0.5917	0.0000
0.4886	0.4998	0.4976	0.5998	0.0801	0.5011	0.6895	0.2719	0.6495	0.5794	0.7837	0.4956	0.4137	0.5085	0.5769	0.4991	1.0000	0.3045	0.5917	1.0000
0.0000	0.4998	0.4976	0.0615	0.0916	0.5011	0.3148	0.9110	0.4915	0.5794	0.3310	0.5020	0.4137	0.5085	0.5887	0.6650	0.4181	0.5843	0.3259	0.0673
0.4024	0.4998	0.6749	0.5807	0.1969	0.5011	0.3148	0.2826	0.4915	0.5794	0.3975	0.5020	0.4137	0.5085	0.5887	0.2333	0.3867	0.8948	0.3259	0.6899
0.5928	0.4998	0.6749	0.5807	0.0000	0.5011	0.7812	1.0000	0.1437	0.0000	0.3975	0.5020	0.4137	0.5085	0.5887	0.5996	0.0000	0.0000	0.3259	0.6349
0.5928	0.4998	0.6749	0.5807	0.3138	0.5011	0.4952	0.4407	0.4932	0.5749	0.3081	0.5020	0.4137	0.5085	0.5887	0.5996	0.4782	0.0000	0.3259	0.3176
